,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9,F4,F5,HM1,HM2,THM1,THM2,HM3,HM4,THM3,THM4,HM5,HM6,THM5,THM6,KM1,KM2,TKM1,TKM2,KM3,KM4,TKM3,TKM4,KM5,KM6,TKM5,TKM6,AM1,AM2,TAM1,TAM2,AM3,AM4,TAM3,TAM4,AM5,AM6,TAM5,TAM6
M_DR_L206M2NAAA,66.354183,33.645817,0.827170,54.063399,1.706667,35.334355,0.484896,31.692543,0.443480,28.985621,0.918333,65.734189,0.406667,0.281667,-26.788241,36.000917,48.493217,-77.643859,-3.360830,9.786013,9.890512,24.490333,14.280000,10.210333,66.889733,65.500486,4.584000,-2.253333,6.837333,49.915265,5.095695,2.924000,-6.870667,9.794667,55.685525,76.702040,41.129667,41.689000,7.563667,22.052667,46.732667,22.052667,39.169000,4.127072,53.182163,90.641686,66.354183,-4.918333,6.770333,-4.950667,-4.306667,-1.782000,-5.531667,12.302000,47.897000,23.043944,88.444124,80.370789,6.419000,-6.108333,12.527333,66.041443,32.221928,14.895667,34.818667,4.208333,34.992333,43.695000,14.828667,39.486667,65.789459,45.847930,77.973396,100.000000,10.348333,0.421667,9.926667,78.058209,42.327529,-21.115667,-34.419667,13.304000,32.083473,85.209003,5.272000,17.036667,-1.915333,2.415333,14.180333,2.415333,18.952000,48.318277,22.147902,87.768879,66.354183,20.561667,-10.605333,31.167000,87.371880,15.052915,29.440000,-32.830000,0.492000,-0.217667,15.170737,74.176298,0.868667,-0.110000,28.246132,96.987011,0.074333,-0.070667,14.563559,45.746564,0.251333,-0.138000,15.638374,45.790295,0.438333,-0.051333,35.006075,65.247643,0.096333,-0.006667,46.291289,24.814941,0.959000,-0.093333,47.849460,1.766718,0.284333,-0.015667,49.044362,7.810594,0.047000,-0.095000,31.696118,52.822984
M_DR_L217M1NAAA,68.448036,31.551964,1.078777,66.182618,1.233333,48.697184,0.875989,53.741642,0.551447,33.831084,0.588333,101.994509,0.421667,0.216667,-73.897525,111.139971,190.397959,-206.896162,-98.931315,14.456748,29.066191,5.832667,-0.919667,6.752333,7.952969,68.031727,1.927667,-3.369667,5.297333,39.952053,48.540682,4.481000,-5.563667,10.044667,5.670839,88.189377,34.529000,37.101667,-16.931667,-2.751333,35.769333,-2.751333,54.033333,6.767036,58.993185,90.777588,68.448036,-7.660333,5.292667,-8.203667,-6.862000,-1.970333,-7.735667,13.795333,48.203390,24.306633,93.911873,72.389110,-0.501667,-20.115333,19.613667,42.963210,11.953468,10.610000,42.887000,2.672667,44.506333,65.492667,9.977667,62.820000,68.042226,47.394991,78.189572,98.744633,0.973333,-6.601667,7.575000,15.643730,35.407705,0.883000,-20.044000,20.927000,14.085831,2.510236,2.842000,14.856333,-9.018667,-7.418667,7.166000,-7.418667,23.875000,54.163014,47.335371,93.844406,68.448036,13.457000,-18.838667,32.295667,87.371947,76.019280,95.110000,-83.033333,0.432333,-0.644000,8.756546,56.021771,0.953667,-0.165000,46.605347,87.855954,0.224000,-0.080667,19.472574,50.327835,0.804667,-0.238000,20.079185,97.935113,0.459000,-0.062333,43.134330,66.683554,0.104333,-0.011000,51.316535,8.569322,1.114333,-0.174000,53.844691,8.458241,0.188667,-0.038667,56.170435,17.370230,0.041000,-0.128000,25.416620,57.658241
M_DR_L220M1NAAA,73.015800,26.984200,0.532877,30.802119,2.315000,26.926632,0.237653,13.737196,0.266447,15.401541,1.175000,55.868387,0.423333,0.606667,-13.355952,22.569124,52.473930,-67.185167,-3.326992,9.049702,-1.131921,24.163667,14.628667,9.535000,18.413508,65.538800,8.007667,0.042333,7.965333,74.347772,60.053891,15.854000,-3.348667,19.202667,32.635224,80.621016,33.640000,35.764000,8.846667,25.171667,39.667667,25.171667,30.821000,7.177997,58.724514,88.719749,73.015800,-6.177333,4.758667,-6.543333,-6.231000,-6.135667,-10.262667,15.021333,55.266894,53.107756,86.606896,85.733645,-15.547333,-32.069000,16.521667,55.499100,9.294361,11.214000,39.739333,-0.638333,39.843333,42.368333,13.762667,43.006667,72.434523,39.127765,77.251071,100.000000,1.519667,-3.203333,4.723000,63.778930,55.753468,-3.367667,-16.757000,13.389333,32.100321,60.687338,0.043000,7.779667,-7.657333,-4.481333,1.879333,-6.204000,16.346000,52.959133,21.276365,96.344744,86.446353,19.956333,-14.569667,34.526000,96.065375,70.705983,39.860000,-50.530000,0.280000,-0.393000,5.826468,57.866003,0.879667,-0.143000,32.361031,64.573423,0.043000,-0.046000,32.751171,49.294960,0.310000,-0.164333,21.481859,62.149223,0.430333,-0.087333,32.406818,51.494632,0.041000,-0.023333,42.557553,63.094393,0.596333,-0.084000,55.560439,2.041918,0.076000,-0.018333,59.367742,11.390473,0.060667,-0.042333,56.159372,56.581798
M_DR_L231M1NAAA,64.294236,35.705764,1.201880,84.639437,1.265000,47.431324,0.950228,66.917472,0.629770,44.350000,0.623333,96.282948,0.470000,0.161667,-48.984047,64.508395,130.109488,-155.559183,-127.663433,-0.914939,103.337691,17.598667,11.124667,6.474000,55.383348,24.687996,0.221667,-7.166333,7.388000,14.627264,66.930883,3.196000,-11.335333,14.531333,6.324708,53.231097,43.024333,43.876667,-6.698333,10.278333,45.568667,10.278333,52.384000,3.159997,55.335511,96.825397,64.294236,-6.464333,5.597000,-9.074667,-9.092333,-0.975000,-9.168000,14.802667,23.451630,63.766700,90.122649,64.950923,-0.894000,-10.872333,9.978333,68.163408,25.657193,7.293333,44.397333,4.945667,45.996000,64.349667,4.368000,61.831000,63.898975,30.894347,72.728557,96.050518,-2.291333,-13.225333,10.934000,48.809001,70.744471,-15.236333,-28.972000,13.735667,51.110982,60.434133,-35.651000,12.300667,-39.261000,-26.351333,3.700000,-31.688333,53.004333,40.704093,20.948617,83.662554,86.868320,17.406000,-25.789000,43.195000,81.162356,21.213459,74.890000,-81.316667,0.347667,-0.542667,98.159605,52.703038,0.680333,-0.230333,31.333900,84.587541,0.170333,-0.066667,15.411022,69.018135,0.834667,-0.248333,15.278751,97.896096,0.212333,-0.241667,59.366826,25.099428,0.051333,-0.037667,47.165736,12.513505,0.872333,-0.093000,46.901721,14.749655,0.163000,-0.168667,51.644850,14.493964,0.239000,-0.181000,40.704085,54.016408
M_DR_L232M2NAAA,68.143026,31.856974,0.967923,62.046368,1.230000,48.800659,0.787478,50.479341,0.525353,33.676496,0.521667,115.102536,0.465000,0.205000,-71.411703,78.021896,136.546352,-201.386139,-150.806049,25.156443,43.265466,33.508333,23.133667,10.374667,26.432619,68.406768,0.364333,-9.450667,9.815000,19.783717,73.144152,5.026000,-11.880333,16.906333,18.934310,72.810898,59.946333,64.241000,18.429000,29.926333,62.400667,29.926333,45.865000,8.946787,57.581823,93.209775,68.143026,-2.017000,6.128667,-4.299667,-4.055333,1.750000,-6.235667,12.364333,43.428762,46.986688,93.549233,71.938015,7.091667,-9.689333,16.781000,12.472968,41.886697,9.869000,48.703667,9.857333,50.179667,67.847000,8.531667,59.315333,67.736354,0.133869,76.810873,98.494371,-3.914333,-14.004000,10.089667,79.316734,75.451387,25.361000,8.400333,16.960667,13.531423,100.000000,-20.942667,21.436667,-20.986667,-6.086667,9.890333,-16.287000,43.103333,54.042834,0.133869,86.839278,89.017156,33.940667,-17.093333,51.034000,61.005300,37.202980,95.990000,-109.653333,0.814000,-0.362667,11.902033,82.213359,0.936667,-0.323000,43.567943,87.418355,0.142667,-0.067333,17.403980,57.018933,0.540000,-0.391000,12.072433,34.188563,0.348667,-0.247000,18.075177,66.072748,0.082667,-0.022667,53.544467,3.644852,1.164667,-0.022000,55.135118,88.095043,0.191667,-0.070333,57.951140,46.196546,0.082333,-0.266333,37.887521,60.695730
M_DR_L248M1NAAA,67.235327,32.764673,1.071280,61.216000,1.230000,49.098468,0.875511,50.029226,0.604610,34.549143,0.630000,96.278682,0.441667,0.151667,-58.570512,58.444252,121.374863,-172.889263,-39.664365,8.090136,27.072172,18.556333,12.500667,6.055667,65.528755,33.851445,3.021333,-9.501333,12.522667,15.650939,65.591260,4.872000,-13.804667,18.676667,4.678436,82.961961,40.237000,40.272333,0.613333,15.343000,44.305000,15.343000,43.698333,1.982652,57.130396,91.440610,67.235327,-4.572667,6.109333,-10.772333,-10.264333,0.267000,-10.301000,16.965667,15.694274,63.419737,88.775262,67.504145,15.690000,-1.998333,17.688333,85.990402,4.236119,9.173667,43.483000,7.382000,44.996000,62.131333,9.518000,54.749333,66.826174,33.608841,75.730397,98.863773,0.250333,-6.838000,7.088333,83.670048,66.832262,-13.963667,-32.583333,18.619667,30.354863,59.498145,-8.406667,9.799667,-17.879667,-14.868000,-2.894333,-14.868000,27.679333,41.017671,24.556621,86.424385,67.235327,19.947667,-14.208000,34.155667,90.546286,73.415971,85.130000,-125.563333,0.603667,-0.456333,34.188887,49.964355,0.958333,-0.167000,13.143712,54.822128,0.177000,-0.040667,12.032714,33.709485,0.777333,-0.287000,11.183088,96.704420,0.168000,-0.177333,47.530417,25.777994,0.039000,-0.013667,46.980926,41.222442,1.020667,-0.231000,50.820069,3.849636,0.101000,-0.075333,46.999346,8.038177,0.048000,-0.079333,23.648118,51.437963
M_DR_L251M1NAAA,67.639087,32.360913,1.209740,67.962921,1.261667,47.581033,0.959263,53.891198,0.635520,35.703371,0.616667,97.406370,0.440000,0.235000,-71.130230,110.188275,185.462152,-204.459868,-142.210204,18.034664,9.824549,17.490000,11.166000,6.324000,4.104383,85.637467,1.867333,-9.646000,11.513333,43.009712,95.288373,2.489667,-11.233333,13.723000,21.407512,83.380927,48.033000,48.462333,-1.517333,15.459000,49.257667,15.459000,51.084667,3.050653,57.208153,90.215490,67.639087,-8.690000,2.752000,-9.867667,-8.855333,-4.269333,-11.110333,14.270667,50.050924,45.319502,93.435132,73.476604,13.548667,-12.096333,25.645000,55.945370,15.988549,12.245000,48.495333,6.148333,49.964667,70.438333,10.415667,64.290000,67.242579,47.439037,77.665415,99.473388,4.296667,-2.932000,7.228667,8.409933,15.988549,-1.730333,-20.357000,18.626667,55.822821,39.021625,-0.871667,17.038000,-13.249667,-13.631000,2.501000,-13.844333,30.946333,54.153999,46.375370,97.737260,67.900094,35.874333,-0.973667,36.848000,89.162267,74.225043,123.950000,-131.660000,0.915000,-0.472667,8.058377,57.985988,0.983000,-0.231667,39.567737,97.872762,0.214333,-0.090000,17.579982,62.284197,0.817667,-0.321333,17.313577,98.160255,0.483000,-0.111333,39.831443,80.006731,0.136000,-0.014333,50.059906,1.716939,1.116667,-0.086000,52.455448,2.357964,0.367333,-0.017333,53.771281,74.156462,0.042000,-0.478000,1.721536,52.444356
M_DR_L260M1NAAA,67.714393,32.285607,1.151743,60.300698,1.543333,38.892248,0.746993,39.109583,0.598313,31.325305,0.761667,78.779882,0.510000,0.315000,-46.559873,50.408332,94.929107,-95.761399,-27.943460,17.092741,38.865452,39.379667,25.670667,13.709000,26.036518,49.575191,4.979333,-0.090000,5.069333,39.692936,82.219785,10.076000,-1.143667,11.219667,36.845846,84.355775,54.513000,57.274667,12.896333,35.128667,55.338000,35.128667,44.479667,8.493907,52.168965,100.000000,67.714393,0.874000,4.504333,-0.809667,0.572333,2.180667,-0.395333,5.551667,53.092048,23.028553,89.303672,81.118826,4.544000,-8.658333,13.202333,35.595483,65.641836,12.111667,46.704333,6.157000,47.585667,53.891000,9.204667,47.734000,67.390291,45.423863,72.699569,95.580004,0.226333,-4.545333,4.771667,55.187286,49.104071,-5.671000,-19.470667,13.799667,74.871275,32.067511,8.161667,15.085000,-4.499667,-2.179000,14.527667,-2.179000,21.300667,48.776232,46.605686,96.446825,67.714393,21.869000,-11.940000,33.809000,82.838361,71.936801,80.906667,-52.666667,0.620000,-0.740333,18.684313,54.653300,0.987333,-0.177667,49.916498,66.061471,0.055000,-0.083333,36.793361,43.366117,0.345000,-0.355000,46.132260,34.281832,0.366000,-0.116667,44.360405,3.974161,0.112000,-0.008333,45.130342,45.811024,1.561000,-0.162000,51.310267,8.217118,0.214000,-0.055667,52.300256,15.116095,0.035000,-0.353333,14.078319,54.105453
M_DR_L264M1NAAA,70.239497,29.760503,0.942837,54.499229,1.420000,42.399126,0.666813,38.544088,0.499977,28.900385,0.670000,90.073776,0.503333,0.250000,-18.032989,56.220598,126.165052,-148.618188,-90.807790,11.380025,40.483021,19.593667,14.756000,4.837667,40.546050,58.541392,3.741000,-1.645667,5.386667,70.100094,65.140537,8.775667,1.604000,7.171667,26.434610,87.423615,40.412333,41.345667,9.233333,21.111333,41.913000,21.111333,33.743667,7.396192,61.198505,93.633655,70.239497,-0.342667,6.849333,-1.666000,-1.699000,4.058333,-1.963667,8.814667,21.764600,48.684357,92.660162,71.708839,-12.046000,-20.699667,8.653667,16.604468,27.427216,9.293000,45.842333,9.092333,46.963333,57.130667,5.684667,51.446000,69.886171,12.899106,76.442982,98.023238,-6.894000,-13.443333,6.549333,43.709438,83.268410,3.190000,-16.616333,19.806333,20.458277,82.913939,3.452333,18.363667,-7.183667,-4.928333,7.381667,-4.928333,25.547333,56.081220,27.111446,83.821719,70.239497,21.240000,-11.249667,32.489667,86.531908,77.532776,58.516667,-54.143333,0.301000,-0.400333,67.680756,52.806389,1.133667,-0.194000,22.064179,79.513526,0.165000,-0.050000,21.876834,84.894136,0.564000,-0.173667,22.756496,97.616165,0.346333,-0.072667,23.537115,72.442819,0.060333,-0.008667,52.674529,48.463563,1.115333,-0.139667,55.052203,5.412124,0.075333,-0.047000,56.600527,35.367476,0.019667,-0.234333,20.631287,55.779351
M_DR_L265M1NAAA,64.817968,35.182032,1.149033,75.116768,1.131667,53.068190,1.016367,66.444062,0.598387,39.118797,0.575000,104.432090,0.418333,0.140000,-55.471602,86.384580,188.654383,-212.363667,-112.919670,54.865244,56.550785,20.896000,16.468000,4.428000,65.011516,54.967157,3.149667,-3.026667,6.176333,15.760708,44.879152,7.112000,-5.663000,12.775000,5.908803,57.159710,45.458667,45.548000,5.369000,17.025333,44.475333,17.025333,40.575000,4.817910,54.667109,92.485473,64.817968,-4.820000,7.168333,-5.052667,-2.880667,-0.928667,-4.398667,12.333333,44.592313,1.046338,82.352993,71.985485,1.124667,-17.788000,18.912667,49.468597,37.732858,3.745333,42.486333,3.641333,44.055000,61.123000,-1.007667,62.130667,64.375733,14.499253,74.248182,97.657855,-0.397333,-6.351667,5.954333,66.486316,40.311771,-0.694667,-19.337000,18.642333,15.186201,0.604022,5.297667,14.320667,-9.474000,-7.643667,10.279667,-7.643667,23.794667,48.895392,63.194348,96.750802,64.817968,28.244667,-9.056333,37.301000,85.582464,72.937945,70.423333,-82.533333,0.779667,-0.540333,67.288585,53.330132,0.917333,-0.332333,46.401650,97.354824,0.128333,-0.091667,15.924534,84.104245,0.541667,-0.432000,14.407263,97.213581,0.348000,-0.136000,45.816134,84.104245,0.088667,-0.010333,45.816134,4.030865,1.099000,-0.249000,49.507648,4.424388,0.239000,-0.039667,51.389133,13.545457,0.032333,-0.296333,2.213213,52.292028
M_DR_L271M1NAAA,68.338072,31.661928,0.853293,55.408658,1.205000,49.810365,0.708084,45.979498,0.416997,27.077706,0.601667,99.801480,0.341667,0.251667,-54.735481,77.989905,110.186862,-223.292649,-104.302200,32.355890,-75.500587,25.301000,19.316000,5.985000,47.067352,93.002083,4.458333,-1.001333,5.459667,43.902439,47.035329,4.686333,-12.411667,17.098000,71.951220,56.159477,43.211333,45.825000,15.898667,26.197000,55.042667,26.197000,39.144000,6.985523,59.898604,87.697835,68.338072,0.132333,11.832667,-0.775333,4.561333,8.370000,-0.139000,13.682000,38.078721,1.490515,85.069199,99.449036,9.966333,-0.399333,10.365667,12.091238,49.682221,7.368333,48.872000,5.523333,49.845667,64.935333,12.314667,59.412000,67.922986,0.948509,80.642477,100.000000,2.944000,-11.560000,14.504000,75.884695,46.345890,-25.194000,-48.830667,23.636667,63.850388,62.632295,-26.132667,16.501333,-26.788000,-6.214000,-6.214000,-32.822333,49.334667,51.580088,0.679746,68.338072,75.117195,14.731667,-21.648333,36.380000,37.627175,91.155514,64.733333,-53.096667,0.708000,-0.310333,18.799463,67.368295,0.939667,-0.219000,35.511648,100.000000,0.090000,-0.046000,21.815575,36.727586,0.336667,-0.233667,20.422129,37.694013,0.161000,-0.125333,34.643215,29.505290,0.041667,-0.027000,35.372778,26.135636,0.944667,-0.021000,52.406158,67.368295,0.328000,-0.009333,47.213066,85.996403,0.022667,-0.156333,63.348830,49.516965
M_DR_L271M2NAAA,69.340054,30.659946,0.929123,60.332684,1.295000,46.453238,0.718986,46.687372,0.451110,29.292857,0.631667,95.166476,0.341667,0.261667,-38.930880,49.983293,90.853678,-227.636103,-74.665545,19.675991,-58.353774,36.041333,25.840667,10.200667,46.433871,33.434707,5.662333,-4.836667,10.499000,12.551909,58.186817,9.561667,-12.408667,21.970333,34.903116,55.325851,53.417667,57.330667,32.145667,39.832333,65.492333,39.832333,33.346667,12.748897,62.110341,85.085904,69.340054,-4.882333,12.682000,-5.166000,0.274333,5.627000,-6.196667,20.053000,26.759122,0.680272,84.264531,100.000000,-2.017667,-15.179333,13.161667,84.603555,46.567768,5.225333,51.556667,5.185333,52.752667,66.437333,6.122667,62.709000,68.952943,0.136054,78.761420,99.618225,-2.446000,-15.456667,13.010667,82.629413,65.479333,-3.870000,-30.565667,26.695667,53.813314,88.543798,-27.237333,8.105667,-27.525667,-16.971667,-16.971667,-34.194000,42.299667,49.027534,0.512783,69.340054,88.972725,15.960333,-16.294000,32.254333,100.000000,84.633189,90.183333,-86.510000,0.690000,-0.295000,11.608485,77.852099,1.114000,-0.168000,17.252475,0.909986,0.167667,-0.047333,15.237826,1.030612,0.551333,-0.200000,13.971875,1.030612,0.202333,-0.074333,11.380196,24.474599,0.041667,-0.022667,46.605232,89.590127,0.731333,-0.116667,53.452524,32.402602,0.275333,-0.012667,48.216119,91.933553,0.025000,-0.159000,62.487069,47.860222
M_DR_L280M1NAAA,66.296431,33.703569,1.039960,59.767816,1.203333,49.891047,0.864823,49.702479,0.549937,31.605556,0.625000,96.028980,0.388333,0.206667,-55.620679,42.044050,118.131763,-192.774060,-32.631329,25.056565,20.473111,9.503667,3.916000,5.587667,100.000000,47.785851,5.166667,-5.411667,10.578333,18.561717,67.409242,-0.657667,-7.896000,7.238333,45.386330,70.622374,33.898333,33.905667,-1.092667,10.864667,33.413667,10.864667,34.998333,0.401606,56.056666,96.075441,66.296431,-3.912667,4.009333,-13.829667,-13.940000,-5.508000,-14.119667,18.129000,19.372304,65.880672,100.000000,67.543111,-5.641333,-16.715333,11.074000,88.181238,50.557081,8.953667,51.806333,8.443000,53.146667,64.685333,3.955333,61.170000,65.880672,15.112994,74.214989,99.295573,9.942000,-5.349333,15.291333,96.193815,73.095400,-9.187000,-21.267000,12.080000,15.087031,64.135021,4.935667,15.495667,-3.336667,1.495667,12.883000,1.495667,18.832333,51.363604,62.977139,78.224555,66.296431,16.785333,-28.512333,45.297667,85.997476,73.111936,63.900000,-87.790000,0.401667,-0.337333,64.628915,47.022317,1.047667,-0.228333,21.062452,88.969609,0.206000,-0.085000,16.975942,84.750200,0.938667,-0.241333,18.273645,97.244488,0.443000,-0.117667,26.970221,84.750200,0.074333,-0.089000,48.439736,15.777901,0.923000,-0.280333,51.357421,11.697573,0.028333,-0.340000,90.695472,17.174390,0.141667,-0.088667,46.058718,56.079384
M_DR_L285M1NAAA,71.945391,28.054609,1.009000,60.059524,1.501667,39.993435,0.672488,40.029042,0.473327,28.174206,0.718333,83.768882,0.475000,0.288333,-42.147519,55.891670,52.558503,-83.666195,-55.782173,21.285661,86.432467,21.618000,5.977667,15.640333,54.773184,49.402392,0.763000,-8.691667,9.454667,55.085318,9.453102,11.749667,-9.268333,21.018000,35.590348,86.554637,37.659667,38.951667,-9.127333,13.582667,40.173333,13.582667,49.881667,5.980865,54.203507,94.152827,71.945391,-5.541667,6.196333,-8.952000,-7.543667,-6.185333,-11.226000,17.422333,53.606091,9.430944,89.688391,77.942683,-7.814000,-24.272000,16.458000,65.796515,26.310861,16.086667,32.691667,1.959000,33.246667,38.301333,17.520000,36.342333,71.612112,43.738940,83.463483,100.000000,-0.391000,-11.948667,11.557667,74.415640,70.915184,-0.153667,-17.587000,17.433333,72.928799,66.339118,-6.279667,9.910667,-23.153667,-18.967000,6.205667,-18.967000,33.064333,50.631225,69.033737,90.357077,71.945391,23.346000,-13.295667,36.641667,76.988708,11.232360,81.830000,-98.996667,0.562333,-0.777333,14.196528,52.610262,0.765000,-0.185333,40.041624,78.860595,0.107333,-0.072333,7.770451,52.345815,0.495000,-0.324000,7.877978,52.773586,0.283333,-0.112000,37.984788,30.895008,0.063333,-0.019000,46.463442,7.087466,1.018000,-0.082667,54.167606,2.669475,0.174333,-0.126667,51.683575,20.957007,0.074333,-0.193000,26.518418,50.999828
M_DR_L288M1NAAA,66.382170,33.617830,1.144317,63.573148,1.053333,57.181127,1.088366,60.464773,0.625763,34.764630,0.528333,113.678034,0.348333,0.193333,-85.964631,85.230173,194.163450,-158.594399,-101.291514,27.138872,43.047041,10.202667,6.725000,3.477667,43.475463,6.570236,1.182333,-6.523000,7.705333,21.485914,69.485008,9.507333,-0.050000,9.557333,21.740216,81.034535,30.892000,32.125667,-5.590333,8.256000,31.508667,8.256000,38.248667,7.564134,54.469435,99.691358,66.382170,-9.783333,-2.505333,-11.178000,-11.232667,-7.727000,-12.582667,10.077333,50.085180,45.535290,88.101192,70.541035,-18.472667,-32.658667,14.186000,61.841937,17.761934,10.527333,42.785333,3.592000,44.180333,52.870333,4.150333,49.862667,65.905661,46.003596,72.540011,97.267186,1.614333,-13.721333,15.335667,44.200566,77.077222,12.804000,-5.185667,17.989667,16.813759,92.515032,7.222667,16.771667,-6.541000,-4.466667,12.170333,-4.466667,23.312667,53.403721,64.971033,97.014702,66.382170,27.108667,-4.483333,31.592000,85.218521,71.474297,110.916667,-128.650000,0.559333,-0.990000,65.832694,52.650507,0.679333,-0.304000,21.094021,73.723911,0.142667,-0.057000,18.963579,53.506108,1.033667,-0.297000,16.320225,97.757242,0.403000,-0.086333,20.939700,66.554882,0.079333,-0.010667,49.571889,1.887647,0.999000,-0.197333,53.581277,9.275212,0.295000,-0.015333,53.202931,83.471648,0.045333,-0.323000,5.586040,53.217463
M_DR_L302M2NAAA,67.086941,32.913059,1.004437,58.738986,1.058333,56.728744,0.949515,55.527169,0.524677,30.682846,0.535000,112.169312,0.381667,0.155000,-27.619226,60.570181,127.807155,-181.063319,-22.150695,12.968645,20.525727,19.127667,12.971333,6.156333,87.248846,20.183557,5.016000,-0.858667,5.874667,20.410585,70.544696,5.661667,-3.039667,8.701333,31.558071,86.427352,41.177667,41.202333,11.147333,25.925667,43.785000,25.925667,32.637667,0.325203,53.543383,86.025774,67.086941,-3.569333,3.202667,-4.146667,-3.030333,0.646000,-3.813333,7.643333,20.897349,23.203550,89.310027,70.867816,-3.924333,-11.786000,7.861667,52.849764,57.340885,12.798667,52.173333,10.882667,53.354667,60.629333,7.930000,52.699333,66.614202,23.614051,73.259562,98.762734,2.640667,-7.225333,9.866000,44.422450,76.052013,-10.225667,-21.538667,11.313000,44.739618,90.572941,1.634000,12.225667,-6.724667,-5.506333,10.098667,-5.692667,19.135333,51.026780,65.520145,85.856600,76.872874,28.513667,-9.820667,38.334333,86.343363,72.781453,105.213333,-107.383333,0.555000,-0.521667,97.817255,68.996251,0.972667,-0.242667,20.886611,91.059704,0.158000,-0.083667,18.556330,85.392515,0.769667,-0.355000,16.630914,97.970161,0.437333,-0.121333,37.984325,85.545421,0.120667,-0.010000,46.940095,37.055143,1.095667,-0.178333,48.835380,8.721282,0.272667,-0.029000,52.149926,85.702653,0.025333,-0.260333,8.595383,48.562663
M_DR_L305M1NAAA,64.481868,35.518132,1.186763,65.206777,1.280000,46.902360,0.927454,50.959016,0.575230,31.606044,0.608333,98.906295,0.470000,0.195000,-77.600199,94.457930,186.584255,-172.048667,-114.117353,28.796668,20.963255,9.203333,-1.127000,10.330333,15.615829,51.419321,-0.080333,-4.466333,4.386000,57.285409,57.463057,-8.763667,-16.323667,7.560000,18.445157,80.763711,30.437000,31.151000,-10.969000,-0.242333,29.746333,-0.242333,42.120000,6.271320,55.495208,87.513280,64.481868,0.216333,2.366667,-8.634333,-4.958667,7.127333,-4.958667,15.761667,15.742572,57.977694,85.697593,64.481868,1.811333,-8.818000,10.629333,24.682050,83.174875,11.972000,41.259667,7.258667,42.834333,65.243000,6.403667,59.332000,64.091015,41.785226,74.356938,98.579874,0.981333,-19.341333,20.322667,28.491899,73.720266,-6.413667,-26.139000,19.725333,13.284295,81.124686,5.397333,11.866667,-8.279000,-7.002000,6.810333,-7.002000,20.145667,51.293115,44.949907,94.632477,64.481868,23.287000,-33.145333,56.432333,87.381830,21.499419,128.813333,-102.606667,0.790667,-0.854333,42.212478,66.735282,0.605667,-0.368333,14.467397,74.058144,0.093333,-0.061333,32.682840,61.736483,0.504333,-0.324333,9.251981,98.986058,0.253333,-0.229333,69.816325,73.670249,0.021333,-0.025000,52.381399,54.438065,1.276667,-0.172667,52.884232,5.850422,0.229333,-0.168667,55.234057,17.304510,0.328333,-0.158667,50.784933,59.279954
M_DR_L310M1NAAA,69.481558,30.518442,0.964737,60.296042,1.353333,44.638538,0.717673,44.854575,0.505580,31.598750,0.685000,87.903667,0.388333,0.226667,-54.535931,47.806822,101.008631,-146.512682,-55.050566,22.013173,71.906450,18.529000,14.955000,3.574000,39.132525,22.763762,-2.876667,-7.551000,4.674333,41.465428,55.706400,2.552667,-7.534333,10.087000,100.000000,9.928513,33.431000,35.543667,0.307333,16.119000,38.050000,16.119000,38.383333,4.684243,56.887485,89.392097,69.481558,-0.458000,4.211333,-9.796667,-9.597000,-5.741333,-11.216000,15.637333,16.034032,68.449504,81.090338,75.971789,4.120667,-11.623000,15.743667,10.550508,60.996468,6.424333,45.382000,0.009333,46.482000,54.719333,4.472333,54.710000,69.109570,28.926564,74.941968,100.000000,7.303667,-1.767000,9.070667,60.575462,69.663993,-3.651000,-17.802667,14.151667,66.953099,67.185473,6.629667,14.207333,-10.319000,-9.369667,10.223333,-9.657667,24.962333,48.836532,66.520245,84.966682,69.878384,30.237000,-41.468000,71.705000,75.979326,35.681351,57.306667,-57.376667,0.740000,-0.678000,3.499856,54.671365,1.023333,-0.155333,23.458276,65.540394,0.131000,-0.084000,17.788623,49.007684,0.542000,-0.166333,15.859802,3.257570,0.491000,-0.073667,37.140974,67.474800,0.122333,-0.042333,51.641996,16.430373,1.036000,-0.165000,50.737117,6.126035,0.159000,-0.218667,52.845752,18.913983,0.403333,-0.417333,41.394248,41.372005
